,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
102,"What is Love?",TWICE,20201,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
103,Youngblood,"5 Seconds of Summer",20200,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
104,"We Go Up","NCT DREAM",20185,https://open.spotify.com/track/26vOBLHS116a4WNUVlvAUW
105,Akad,"Payung Teduh",20155,https://open.spotify.com/track/3AAAGS7iM1ekDywqdYMJG2
106,Kusut,Fourtwnty,20154,https://open.spotify.com/track/3diD8b3u6oEn74BezQpujj
107,"HANN (Alone)",(G)I-DLE,20057,https://open.spotify.com/track/7gr57cYekMWriyJYbT7oZ4
108,changes,XXXTENTACION,19975,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
109,Euphoria,BTS,19943,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
110,"Seperti Yang Kau Minta",Chrisye,19824,https://open.spotify.com/track/0przIlLCg6sRuRUBEUginM
111,"8 Letters","Why Don't We",19590,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
112,"Siapkah Kau 'Tuk Jatuh Cinta Lagi",Hivi!,19579,https://open.spotify.com/track/1SbpxkBg8DnkbTDgflkf6w
113,"Sampai Jadi Debu (Menampilkan Gardika Gigih)","Banda Neira",19557,https://open.spotify.com/track/0ROj512WvJ1eqeELd7MEdJ
114,"1000 Tahun Lamanya",Tulus,19484,https://open.spotify.com/track/23K1DCCIlAmi97SWZhzZ0V
115,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",19467,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
116,"Love Someone","Lukas Graham",19280,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
117,"Dance The Night Away",TWICE,19143,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
118,"High On Life (feat. Bonn)","Martin Garrix",19055,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
119,"Hitam Putih",Fourtwnty,18977,https://open.spotify.com/track/5YyFkwRi1Bxsvl0cJynWzn
120,"Can’t Help Falling in Love","Kina Grannis",18947,https://open.spotify.com/track/7uuEfUMuPeQ7RlSWa0cES2
121,Siren,SUNMI,18880,https://open.spotify.com/track/2EK48RuuE8HHMDzD2rEDqL
122,Happier,"Ed Sheeran",18792,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
123,"In My Mind",Dynoro,18787,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
124,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",18784,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
125,Attention,"Charlie Puth",18725,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
126,Rehat,"Kunto Aji",18654,https://open.spotify.com/track/1BzMyhmPzYnGWK6RBF5TTj
127,"Lagu Hari Ini","GAC (Gamaliél Audrey Cantika)",18622,https://open.spotify.com/track/1WoPK1ABFQM4FeSYJ8D9jb
128,Jealous,Labrinth,18510,https://open.spotify.com/track/4L2K7JKseFCBoHMZEAszW0
129,"BOOMBAYAH - KR Ver.",BLACKPINK,18463,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
130,Wolves,"Selena Gomez",18461,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
131,Havana,"Camila Cabello",18450,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
132,"That's What I Like","Bruno Mars",18450,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
133,"Sang Penggoda","Tata Janeeta",18244,https://open.spotify.com/track/4hnuUPfOjKhhpfvaJSSLTC
134,Better,Khalid,18237,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
135,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",18188,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
136,"Aku Pasti Kembali",Pasto,18118,https://open.spotify.com/track/6Tz17TldJdeZDH5xHhEA5z
137,Hampa,"Ari Lasso",17950,https://open.spotify.com/track/6bE0o9hYUPYlokZIH79oM0
138,"Biar Aku Yang Pergi","Aldy Maldini",17857,https://open.spotify.com/track/3BPogo8LQS0IbKCdqvmHJH
139,"SLOW DANCING IN THE DARK",Joji,17685,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
140,"What Lovers Do (feat. SZA)","Maroon 5",17559,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
141,"Ruang Sendiri",Tulus,17506,https://open.spotify.com/track/3xTRHJwjjTP9dBP9aWbCi1
142,"Crying Over You ◐",HONNE,17406,https://open.spotify.com/track/7i1pavASRUZk62ejaUIESa
143,"Best Friend","Rex Orange County",17209,https://open.spotify.com/track/47Bg6IrMed1GPbxRgwH2aC
144,Thunder,"Imagine Dragons",17209,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
145,"Aku Cinta Dia","Rahmania Astrini",17174,https://open.spotify.com/track/224atdPauEbKCbcz7a2JwK
146,"Young Dumb & Broke",Khalid,17090,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
147,SAD!,XXXTENTACION,17056,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
148,"When You Love Someone","Endah N Rhesa",16578,https://open.spotify.com/track/1HT7YpdOHJJBHLOdJMuksc
149,"Hari Bersamanya - Accoustic Version","Sheila On 7",16323,https://open.spotify.com/track/52Z28hjK31wudUscWv1UjR
150,"Kita - Acoustic","Sheila On 7",16264,https://open.spotify.com/track/09pYzzyrc6MsJXuG3K1ruC
151,"Tie Me Down (with Elley Duhé)",Gryffin,16199,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
152,"SICKO MODE","Travis Scott",16188,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
153,Mama,"Jonas Blue",16183,https://open.spotify.com/track/47OVNnZJzIkrsEiZ4n187p
154,Monokrom,Tulus,16180,https://open.spotify.com/track/4GfK1qOF3uBWidbPlTCQRL
155,Sempurna,"Andra & The Backbone",16143,https://open.spotify.com/track/7yyDYbyS8DVawBsYCEzGCg
156,"Dusk Till Dawn - Radio Edit",ZAYN,15994,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
157,"I Don't Wanna Love You Anymore",LANY,15993,https://open.spotify.com/track/1NEV2pt7AJSHWadhfCZ48t
