,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
90,"One Kiss (with Dua Lipa)","Calvin Harris",7543,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
91,"In My Mind",Dynoro,7507,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
92,Connection,OneRepublic,7365,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
93,"Burn Out (feat. Dewain Whitmore)","Martin Garrix",7309,https://open.spotify.com/track/7IWTIkiWGWNQyYfOLdMrGD
94,Beautiful,Bazzi,7303,https://open.spotify.com/track/5TVirkSwFEXF1nLJEebe2I
95,"As If It's Your Last",BLACKPINK,7270,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
96,"New Rules","Dua Lipa",7254,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
97,Entertainer,ZAYN,7233,https://open.spotify.com/track/5LTGmestwpHZ1BfCmpFQJx
98,Kamikaze,Eminem,7223,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
99,FRIENDS,Marshmello,7100,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
100,體面(電影《前任3:再見前任》插曲),"Kelly Yu",7093,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
101,"rockstar (feat. 21 Savage)","Post Malone",7052,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
102,"Kata Akhirmu","Ariff Bahran",7037,https://open.spotify.com/track/00zwEWtzEjwA2dXtvYPnJ5
103,"Police Entry","Elizabeth Tan",7008,https://open.spotify.com/track/4EXkaepYQaJAstycMOhQnX
104,"Let Me Down Slowly","Alec Benjamin",7004,https://open.spotify.com/track/2uaiyLKnYvazyfR0Ky3Kbk
105,"I Like It","Cardi B",6991,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
106,"The Scientist",Coldplay,6927,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
107,"Call Out My Name","The Weeknd",6916,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
108,"Dance The Night Away",TWICE,6869,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
109,"Say My Name","David Guetta",6850,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
110,"Taste (feat. Offset)",Tyga,6849,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
111,Closer,"The Chainsmokers",6819,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
112,Greatest,Eminem,6765,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
113,IDGAF,"Dua Lipa",6763,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
114,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",6755,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
115,"What is Love?",TWICE,6731,https://open.spotify.com/track/5Ek40FyMPprcvtyZDjqylX
116,"I'm Fine",BTS,6699,https://open.spotify.com/track/0EQMrxdeiBhry9JCxskko3
117,"Let Me",ZAYN,6657,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
118,"RAP DEVIL","Machine Gun Kelly",6590,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
119,"Lagi Syantik","Siti Badriah",6565,https://open.spotify.com/track/2whJ6VW0y0EGhp1XYElDCp
120,Enemies,Lauv,6531,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF
121,"Psycho (feat. Ty Dolla $ign)","Post Malone",6493,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
122,"Right Now","Nick Jonas",6485,https://open.spotify.com/track/43wzy7JxMEfvCh8ZFeZKYk
123,Ragaman,"Faizal Tahir",6455,https://open.spotify.com/track/1sWa83eBulwrSneRVHiC04
124,"Mariners Apartment Complex","Lana Del Rey",6426,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
125,"God's Plan",Drake,6412,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
126,REMEDY,Alesso,6395,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
127,"Wake Up in the Sky","Gucci Mane",6371,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
128,"Tie Me Down (with Elley Duhé)",Gryffin,6351,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
129,"Body (feat. brando)","Loud Luxury",6214,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
130,倒數,G.E.M.,6201,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
131,"Make You Feel My Love",Adele,6198,https://open.spotify.com/track/0mqTcM8kuu2IYPotMt7AzS
132,"Young Dumb & Broke",Khalid,6194,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
133,"I'm Not The Only One","Sam Smith",6176,https://open.spotify.com/track/7795WJLVKJoAyVoOtCWqXN
134,"Love Lies (with Normani)",Khalid,6135,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
135,"Rumors (with Sofia Carson)",R3HAB,6081,https://open.spotify.com/track/4hIhoGN4UTZdNpHn5PbvoC
136,"All Falls Down","Alan Walker",6067,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
