,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
107,Ballin,Luciano,8117,https://open.spotify.com/track/1ZxBGZ7pxkh0VwFRp6biXk
108,"Good Guy (feat. Jessie Reyez)",Eminem,8085,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
109,"Wake Up in the Sky","Gucci Mane",8066,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
110,Better,Khalid,8063,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
111,"Mafiosa (feat. Caroliina)",Lartiste,8007,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
112,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,7881,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
113,"Venom - Music From The Motion Picture",Eminem,7868,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
114,"Jennie (feat. R. City, Bori)","Felix Jaehn",7787,https://open.spotify.com/track/1iBOPEE6fIMsl7GMMcEyCF
115,"I'm a Mess","Bebe Rexha",7718,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
116,Clandestino,Shakira,7633,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
117,"Wann dann","Capital Bra",7606,https://open.spotify.com/track/3LMQL9CSxvUP2m8FeFszP6
118,X,"Nicky Jam",7501,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
119,"no tears left to cry","Ariana Grande",7449,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
120,Bella,MHD,7437,https://open.spotify.com/track/0SJRHDAStlsrXIXeFZZStK
121,"La Cintura","Alvaro Soler",7358,https://open.spotify.com/track/355kY0VYYf2AUOnUsU56Xq
122,"Self Care","Mac Miller",7233,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
123,"Kennzeichen B-TK","Capital Bra",7219,https://open.spotify.com/track/4kAIdBQEmb1M9ryd9tNSCD
124,"Qui je suis",RK,7194,https://open.spotify.com/track/0uE2BUVUdc0cZFBND8jTLZ
125,"Mala Mía",Maluma,7134,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
126,Always,"Gavin James",7053,https://open.spotify.com/track/3MQMBm2m3UqpT23doEOZc2
127,W.L.G,Niska,7052,https://open.spotify.com/track/13E2wgUjmdunrlq3Vbxv8T
128,"We Can Do Better","Matt Simons",6971,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
129,Alright,Jain,6959,https://open.spotify.com/track/44ahv3Zj4FOJoy8gJLZF9B
130,Havana,"Camila Cabello",6781,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
131,10419,Cro,6770,https://open.spotify.com/track/3irKuchN2iCEcFQKPGOBNx
132,"The Flute Song",Russ,6730,https://open.spotify.com/track/6pGuOWYOFDcSgmVvFWRWSv
133,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",6723,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
134,"Audio - with Sia, Diplo & Labrinth",Sia,6659,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
135,FRIENDS,Marshmello,6545,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
136,Believer,"Imagine Dragons",6541,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
137,91's,PNL,6525,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
138,"Don’t Matter To Me (with Michael Jackson)",Drake,6479,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
139,"Leave a Light On","Tom Walker",6417,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
140,"No Es Justo","J Balvin",6379,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
141,Thunder,"Imagine Dragons",6371,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
142,"Remind Me to Forget",Kygo,6303,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
143,Perfect,"Ed Sheeran",6233,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
144,"Only Thing We Know","Alle Farben",6181,https://open.spotify.com/track/77YLeSEI8unMbZVWNUqioQ
145,"Feu de bois",Damso,6167,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
146,"Like I Do","David Guetta",6144,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
147,Paradies,Ufo361,6103,https://open.spotify.com/track/2kx7rcukcL50UysnBiWJxf
148,Happier,"Ed Sheeran",6019,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
149,"Ohne mein Team","Bonez MC",5999,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
150,REMEDY,Alesso,5986,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
151,Oyé,"Koba LaD",5976,https://open.spotify.com/track/1wAkwrrlP3j4X49YoS5tpq
152,"Nice Guy (with Jessie Reyez)",Eminem,5974,https://open.spotify.com/track/09FfQO3PqHO4HIJL511Ksi
153,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,5915,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
154,Celoso,"Lele Pons",5907,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
155,Primo,"RAF Camora",5894,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
156,"Balenciaga Challenge (feat. Offset)",6LACK,5886,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
157,"I'm Yours","Jason Mraz",5834,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
158,"Paul - Skit","Paul Rosenberg",5779,https://open.spotify.com/track/0Uv5Kp8sEnriJjkX4oLfNI
159,"Without You (feat. Sandro Cavazza)",Avicii,5762,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
160,"Look At Me!",XXXTENTACION,5757,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
161,"Love Someone","Lukas Graham",5727,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
162,Unforgettable,"French Montana",5692,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
163,"Nice For What",Drake,5662,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
164,"Mo Bamba","Sheck Wes",5658,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
165,"La même","Maître Gims",5645,https://open.spotify.com/track/7HK0UeyxUWJjc6ndRZVKFg
166,"Trap Phone (feat. Capo Plaza)","Gue Pequeno",5631,https://open.spotify.com/track/50Vy6DvEWNLDaQV5j9TdDS
167,"XO TOUR Llif3","Lil Uzi Vert",5576,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
168,40K,Ufo361,5551,https://open.spotify.com/track/5xnKRr7fCLm0Gew1TBou7e
169,Melody,"Lost Frequencies",5535,https://open.spotify.com/track/5r49JKf2vWBF0CQjZewJ0O
170,"Let You Go",Nightcall,5503,https://open.spotify.com/track/3MdXljQymY43YwHw1N0lOd
171,"Tamam Tamam","Summer Cem",5464,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
172,Verändert,Ufo361,5458,https://open.spotify.com/track/0JyiveD2YWsxJWAJmlrCNS
173,"Whatever It Takes","Imagine Dragons",5429,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
174,BILLY,6ix9ine,5360,https://open.spotify.com/track/5KhFaq45chTw8RGfWo8T8J
175,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5345,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
176,"In My Blood","Shawn Mendes",5332,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
177,Penthouse,Eno,5324,https://open.spotify.com/track/43aHoeHvYOBBvzZdopsA4e
178,"Look Alive (feat. Drake)","BlocBoy JB",5319,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
179,Kawasaki,Hecht,5319,https://open.spotify.com/track/4EXvDUlFLEwGCCoZmqSfMV
180,"X - Remix","Nicky Jam",5304,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
181,Barking,Ramz,5303,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
182,"30 km/h","PA Sports",5301,https://open.spotify.com/track/0fRoN30HIQ9pju3O6HLsTz
183,"Santorini (feat. Veysel)","Summer Cem",5292,https://open.spotify.com/track/1ZQhnmtZ2tq1t3TzguTciR
184,"Me Niego",Reik,5255,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
185,Otto,SCH,5187,https://open.spotify.com/track/5TMvoLmSvPk4pmWKcWfzTz
186,"New Rules","Dua Lipa",5166,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
187,"Non stop",Vald,5146,https://open.spotify.com/track/2YZdMTtqmDpXRKnvKlQCyg
188,"Was Du Liebe nennst",Bausa,5126,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
189,Africa,Toto,5124,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
190,"lovely (with Khalid)","Billie Eilish",5102,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
191,Mana,Vald,5099,https://open.spotify.com/track/4MbYBTarkGoFO0CBzL3Ij6
192,Rooftop,"Nico Santos",5082,https://open.spotify.com/track/57que6poE3x4LM9yBzMB22
193,"Hubba Bubba",Massiv,5063,https://open.spotify.com/track/5JmBRZy6cXuqJntsAjcGhC
194,"Échame La Culpa","Luis Fonsi",5054,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
195,"Psycho (feat. Ty Dolla $ign)","Post Malone",5037,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
196,"#DansLeTierquar (Nantes)",RK,5036,https://open.spotify.com/track/26NPCbYyALFIhFlqRziqnG
197,"Wake Me Up",Avicii,4968,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
198,"Ric Flair Drip (& Metro Boomin)",Offset,4966,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
199,"BUTTERFLY EFFECT","Travis Scott",4948,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
200,"More Than You Know","Axwell /\ Ingrosso",4947,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
