,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
89,"Sin Pijama","Becky G",1183,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
90,"Ocean (feat. Khalid)","Martin Garrix",1182,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
91,2002,Anne-Marie,1169,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
92,"Whatever It Takes","Imagine Dragons",1168,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
93,"Without You (feat. Sandro Cavazza)",Avicii,1167,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
94,"Sincerity Is Scary","The 1975",1159,https://open.spotify.com/track/06Vthiq8nNDuT5nOcch535
95,"High Hopes","Panic! At The Disco",1158,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
96,"Jocelyn Flores",XXXTENTACION,1158,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
97,"Your Love","David Guetta",1125,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
98,"The Middle",Zedd,1114,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
99,"Love Someone","Lukas Graham",1103,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
100,"SLOW DANCING IN THE DARK",Joji,1094,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
101,Audiokniha,Gleb,1086,https://open.spotify.com/track/6tgYoMQ6r45PiY3MoQ1MmP
102,"Dancing In The Moonlight (feat. NEIMY)",Jubel,1067,https://open.spotify.com/track/4Vs8RLrUdDXeaZbNeIOrtn
103,"Don’t Matter To Me (with Michael Jackson)",Drake,1066,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
104,"Feels Like Summer","Childish Gambino",1050,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
105,"I Like Me Better",Lauv,1025,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
106,Nonstop,Drake,1024,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
107,changes,XXXTENTACION,1014,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
108,"More Than You Know","Axwell /\ Ingrosso",1010,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
109,"Nico And The Niners","Twenty One Pilots",1006,https://open.spotify.com/track/0yPvg34RGS7KNns790QsxR
110,"All I Am","Jess Glynne",1002,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV
