,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
80,"Good Guy (feat. Jessie Reyez)",Eminem,8078,https://open.spotify.com/track/4g32MdRoqwGKQd3NXIRhpU
81,"Lost Without You","Freya Ridings",7980,https://open.spotify.com/track/3QlF2ExmrRP0RM7ffv7y0Q
82,Havana,"Camila Cabello",7887,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
83,REMEDY,Alesso,7867,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
84,"Mariners Apartment Complex","Lana Del Rey",7853,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
85,NFWMB,Hozier,7827,https://open.spotify.com/track/2iQYqdalv245vrCEM4W9N9
86,"Want To","Dua Lipa",7780,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
87,"This Is Me","Keala Settle",7766,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
88,"Back & Forth",MK,7685,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA
89,Shrike,Hozier,7578,https://open.spotify.com/track/5uIYONgpUQ7t0v7D6CTMBt
90,IDGAF,"Dua Lipa",7517,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
91,"Just Got Paid",Sigala,7507,https://open.spotify.com/track/0v3BMLcwUmAwyqJaf5997o
92,Lullaby,Sigala,7417,https://open.spotify.com/track/5xzCzOAOfRi4DOttSzvznR
93,"Mr. Brightside","The Killers",7402,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
94,sweetener,"Ariana Grande",7397,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
95,"Bed (feat. Ariana Grande)","Nicki Minaj",7364,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
96,Anywhere,Sigma,7268,https://open.spotify.com/track/6lD9nDl7jBUSIPDMAMZjuD
97,changes,XXXTENTACION,7152,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
98,TOOTIMETOOTIMETOOTIME,"The 1975",7138,https://open.spotify.com/track/6wvlEKW2qxucJSBXYpMV2P
99,"I'm Yours","Jason Mraz",7088,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
100,"Self Care","Mac Miller",7022,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
101,"Psycho (feat. Ty Dolla $ign)","Post Malone",6991,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
102,"Pretty Little Fears (feat. J. Cole)",6LACK,6946,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
