,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
74,W.L.G,Niska,8042,https://open.spotify.com/track/13E2wgUjmdunrlq3Vbxv8T
75,Havana,"Camila Cabello",7989,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
76,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,7860,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
77,"Grip (Omarm Me)",Bazart,7817,https://open.spotify.com/track/3R9WeLqxWHP93keLuNyz2J
78,FRIENDS,Marshmello,7746,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
79,"La Cintura","Alvaro Soler",7720,https://open.spotify.com/track/355kY0VYYf2AUOnUsU56Xq
80,Copines,"Aya Nakamura",7535,https://open.spotify.com/track/3AZg5nZgMquXJ67KgpngKX
81,SWISH,Tyga,7480,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
82,Darkside,"Alan Walker",7426,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
83,"Ocean (feat. Khalid)","Martin Garrix",7399,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
84,Smog,Damso,7335,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
85,Happier,"Ed Sheeran",7332,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
86,STARGAZING,"Travis Scott",7319,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
87,Greatest,Eminem,7309,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
88,Africa,Toto,7284,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
89,Believer,"Imagine Dragons",7205,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
90,"I'm Yours","Jason Mraz",7171,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
91,"I'm a Mess","Bebe Rexha",7111,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
92,"Téquila Limonada",Netsky,7065,https://open.spotify.com/track/5qZRZxbsNd4EQkLZuNpW9u
93,"Let Me Live (feat. Anne-Marie & Mr Eazi)",Rudimental,6981,https://open.spotify.com/track/3D1rlKmZdpYUeMtRRLNawc
94,"Remind Me to Forget",Kygo,6923,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
95,"Don’t Matter To Me (with Michael Jackson)",Drake,6884,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
96,REMEDY,Alesso,6786,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
97,"Pretty Little Fears (feat. J. Cole)",6LACK,6731,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
98,"The Middle",Zedd,6719,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
99,Drama,Bizzey,6671,https://open.spotify.com/track/7iQKG3ZjRF4EEhUulo514R
100,"Ma 6t a craqué (feat. Ninho)",Kpoint,6626,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
101,Kamikaze,Eminem,6609,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
102,"Mariners Apartment Complex","Lana Del Rey",6517,https://open.spotify.com/track/4UAW2gObi5o6sJla0qZpPn
103,Thunder,"Imagine Dragons",6510,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
104,"Look At Me!",XXXTENTACION,6500,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
105,"In My Blood","Shawn Mendes",6341,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
106,"Side Effects","The Chainsmokers",6180,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
107,"Wake Me Up",Avicii,6158,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
108,91's,PNL,6133,https://open.spotify.com/track/58st6r10Ze6QomHs0BMUA8
109,"Self Care","Mac Miller",6098,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
110,Perfect,"Ed Sheeran",6091,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
111,"Nice For What",Drake,5897,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
112,"Like I Do","David Guetta",5895,https://open.spotify.com/track/4aBYzs8RxZMuqyOanNlf8I
113,Halo,Beyoncé,5883,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
114,"Te Boté - Remix","Nio Garcia",5813,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
115,"Non stop",Vald,5791,https://open.spotify.com/track/2YZdMTtqmDpXRKnvKlQCyg
116,Zoutelande,BLØF,5768,https://open.spotify.com/track/1dCaSvUR92UgJZwmNxnqZV
117,LIT,SBMG,5720,https://open.spotify.com/track/76OfzNtY3nG5hCnh5COSjt
118,"RAP DEVIL","Machine Gun Kelly",5693,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
119,"Love Someone","Lukas Graham",5621,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG
120,"If You're Over Me","Years & Years",5612,https://open.spotify.com/track/1oc3jna2ablnfIKLYbKujl
121,"Losing It",FISHER,5600,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
122,"Mafiosa (feat. Caroliina)",Lartiste,5597,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
123,Otto,SCH,5562,https://open.spotify.com/track/5TMvoLmSvPk4pmWKcWfzTz
124,"All of Me","John Legend",5526,https://open.spotify.com/track/3uhBIQ7tv8j1FME8cFGEfG
125,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo",5507,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd
126,"Without You (feat. Sandro Cavazza)",Avicii,5487,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
127,"Bad boy","Marwa Loud",5405,https://open.spotify.com/track/0N90EmHdOXLnTYDoeLwsmr
128,"Psycho (feat. Ty Dolla $ign)","Post Malone",5351,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
129,"Wonderwall - Remastered",Oasis,5335,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
130,"Bella ciao - HUGEL Remix","El Profesor",5330,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
131,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5322,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
132,"Want To","Dua Lipa",5245,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ
133,Crazy,"Gnarls Barkley",5238,https://open.spotify.com/track/1vxw6aYJls2oq3gW0DujAo
134,"Too Good At Goodbyes","Sam Smith",5228,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
135,"Stepping Stone",Eminem,5194,https://open.spotify.com/track/60Z57Wdrn0pEVpHI7d7GAX
136,Normal,Eminem,5178,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
137,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",5177,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
138,"Feels Like Summer","Childish Gambino",5163,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
139,"Mag Het ff Lekker Gaan","Sevn Alias",5148,https://open.spotify.com/track/2n7fkh5vi033U3ZIxyqXGx
140,Noticed,"Lil Mosey",5097,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
141,"Your Love","David Guetta",5094,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
142,Closer,"The Chainsmokers",5056,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
143,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,4949,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
144,Mana,Vald,4926,https://open.spotify.com/track/4MbYBTarkGoFO0CBzL3Ij6
145,YAX3,Vald,4894,https://open.spotify.com/track/09Dyb4iPQNMZRc1Nn2aCBo
