,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,changes,XXXTENTACION,1447,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
79,"Look Alive (feat. Drake)","BlocBoy JB",1438,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
80,Liwma,"Konstantinos Argiros",1426,https://open.spotify.com/track/3QjWksQkexMpCQD8TIFp7b
81,BEBE,6ix9ine,1417,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
82,"lovely (with Khalid)","Billie Eilish",1396,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
83,"SLOW DANCING IN THE DARK",Joji,1383,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
84,"The Middle",Zedd,1380,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
85,"Nice For What",Drake,1365,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
86,"W O R K I N M E",Quavo,1362,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
87,"Jocelyn Flores",XXXTENTACION,1351,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
88,"I'm a Mess","Bebe Rexha",1349,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
89,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1329,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
90,"High On Life (feat. Bonn)","Martin Garrix",1326,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
91,FRIENDS,Marshmello,1311,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
92,"Drip Too Hard","Lil Baby",1307,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
93,Fuego,"Eleni Foureira",1269,https://open.spotify.com/track/4TwWOcvjY1qt3QJvtveAGm
94,"Look At Me!",XXXTENTACION,1259,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
95,APESHIT,"The Carters",1256,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
96,"Em Calls Paul - Skit",Eminem,1235,https://open.spotify.com/track/6B3zy3LOKHndqsviCr2z15
97,"Like I Love You","Lost Frequencies",1227,https://open.spotify.com/track/2ZrM2IfZelBZMZoBq9y4kj
98,"Drew Barrymore","Bryce Vine",1220,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
99,Darkside,"Alan Walker",1208,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
100,"Side Effects","The Chainsmokers",1198,https://open.spotify.com/track/3OtQmFLS5b3pTgIf44GQFJ
101,"I Like Me Better",Lauv,1195,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
102,"Survive (feat. Emeli Sandé, Gucci Mane)","Don Diablo",1189,https://open.spotify.com/track/0ZK4SbP0mgjTlvLiSBbhsd
103,HUMBLE.,"Kendrick Lamar",1174,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
104,2002,Anne-Marie,1171,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
105,"'Till I Collapse",Eminem,1161,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
106,"Ola Moiazoun Kalokairi",Melisses,1160,https://open.spotify.com/track/2HBfbTWVjOO0JpVvdwzcSG
107,sweetener,"Ariana Grande",1155,https://open.spotify.com/track/70khXICDeTTxgYtw3EysKH
108,"River (feat. Ed Sheeran)",Eminem,1143,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
